# USV配置：ID, X, Y, MaxSpeed, WeightCapacity, VolumeCapacity, Energy, MaxEnergy, BaseConsumption, PayloadFactor
USV: 0, 17328, 5232, 4.0, 10, 20, 8000, 10000, 0.5, 0.1
USV: 1, 5604, 1388, 4.0, 10, 20, 8000, 5000, 0.5, 0.1
USV: 2, 7644, 1036, 4.0, 10, 20, 8000, 6000, 0.5, 0.1
USV: 3, 14024, 2600, 4.0, 10, 20, 8000, 5000, 0.5, 0.1
USV: 4, 12312, 2500, 4.0, 10, 20, 8000, 5000, 0.5, 0.1
USV: 5, 2928, 1516, 4.0, 10, 20, 8000, 10000, 0.5, 0.1
USV: 6, 16352, 4308, 4.0, 10, 20, 8000, 10000, 0.5, 0.1
USV: 7, 6552, 1280, 4.0, 10, 20, 8000, 10000, 0.5, 0.1
USV: 8, 16712, 3452, 4.0, 10, 20, 8000, 10000, 0.5, 0.1
USV: 9, 1680, 2384, 4.0, 10, 20, 8000, 10000, 0.5, 0.1
