USV_ID: 0, Position: (12902, 2558), MaxSpeed: 4.0, Capacity: 10
USV_ID: 1, Position: (2607, 9167), MaxSpeed: 4.0, Capacity: 3
USV_ID: 2, Position: (3290, 15424), MaxSpeed: 4.0, Capacity: 10
USV_ID: 3, Position: (9413, 11286), MaxSpeed: 4.0, Capacity: 3
USV_ID: 4, Position: (1936, 5141), MaxSpeed: 4.0, Capacity: 10
USV_ID: 5, Position: (5709, 10964), MaxSpeed: 4.0, Capacity: 7
USV_ID: 6, Position: (7249, 4274), MaxSpeed: 4.0, Capacity: 7
USV_ID: 7, Position: (3503, 1666), MaxSpeed: 4.0, Capacity: 7
USV_ID: 8, Position: (10191, 6362), MaxSpeed: 4.0, Capacity: 7
USV_ID: 9, Position: (3380, 12482), MaxSpeed: 4.0, Capacity: 10
USV_ID: 10, Position: (3863, 1798), MaxSpeed: 4.0, Capacity: 7
USV_ID: 11, Position: (11291, 13882), MaxSpeed: 4.0, Capacity: 7
USV_ID: 12, Position: (6022, 11386), MaxSpeed: 4.0, Capacity: 10
USV_ID: 13, Position: (4893, 15513), MaxSpeed: 4.0, Capacity: 10
USV_ID: 14, Position: (6510, 14407), MaxSpeed: 4.0, Capacity: 10
USV_ID: 15, Position: (2424, 5524), MaxSpeed: 4.0, Capacity: 3
USV_ID: 16, Position: (5313, 2888), MaxSpeed: 4.0, Capacity: 7
USV_ID: 17, Position: (4988, 14838), MaxSpeed: 4.0, Capacity: 7
USV_ID: 18, Position: (3627, 12976), MaxSpeed: 4.0, Capacity: 10
USV_ID: 19, Position: (5776, 12196), MaxSpeed: 4.0, Capacity: 3
USV_ID: 20, Position: (8366, 13579), MaxSpeed: 4.0, Capacity: 3
USV_ID: 21, Position: (7675, 3715), MaxSpeed: 4.0, Capacity: 10
USV_ID: 22, Position: (537, 2704), MaxSpeed: 4.0, Capacity: 10
USV_ID: 23, Position: (8005, 15705), MaxSpeed: 4.0, Capacity: 10
USV_ID: 24, Position: (6895, 15230), MaxSpeed: 4.0, Capacity: 7
USV_ID: 25, Position: (6665, 13197), MaxSpeed: 6.0, Capacity: 10
USV_ID: 26, Position: (6192, 13411), MaxSpeed: 6.0, Capacity: 3
USV_ID: 27, Position: (888, 2951), MaxSpeed: 6.0, Capacity: 3
USV_ID: 28, Position: (7312, 6472), MaxSpeed: 6.0, Capacity: 10
USV_ID: 29, Position: (9366, 14118), MaxSpeed: 6.0, Capacity: 3
USV_ID: 30, Position: (7368, 3688), MaxSpeed: 6.0, Capacity: 3
USV_ID: 31, Position: (8652, 13733), MaxSpeed: 6.0, Capacity: 10
USV_ID: 32, Position: (9689, 11195), MaxSpeed: 6.0, Capacity: 3
USV_ID: 33, Position: (2233, 3203), MaxSpeed: 6.0, Capacity: 10
USV_ID: 34, Position: (6958, 13679), MaxSpeed: 6.0, Capacity: 3
USV_ID: 35, Position: (6014, 8736), MaxSpeed: 6.0, Capacity: 7
USV_ID: 36, Position: (11607, 13493), MaxSpeed: 6.0, Capacity: 10
USV_ID: 37, Position: (4777, 9497), MaxSpeed: 6.0, Capacity: 7
USV_ID: 38, Position: (8982, 8409), MaxSpeed: 6.0, Capacity: 3
USV_ID: 39, Position: (4395, 1041), MaxSpeed: 6.0, Capacity: 3
USV_ID: 40, Position: (3029, 15714), MaxSpeed: 6.0, Capacity: 3
USV_ID: 41, Position: (7839, 13691), MaxSpeed: 6.0, Capacity: 7
USV_ID: 42, Position: (10907, 12057), MaxSpeed: 6.0, Capacity: 7
USV_ID: 43, Position: (4437, 15024), MaxSpeed: 6.0, Capacity: 10
USV_ID: 44, Position: (3146, 5741), MaxSpeed: 6.0, Capacity: 3
USV_ID: 45, Position: (4245, 14514), MaxSpeed: 6.0, Capacity: 10
USV_ID: 46, Position: (9803, 10517), MaxSpeed: 6.0, Capacity: 10
USV_ID: 47, Position: (3080, 15720), MaxSpeed: 6.0, Capacity: 3
USV_ID: 48, Position: (4181, 15621), MaxSpeed: 6.0, Capacity: 10
USV_ID: 49, Position: (9821, 6228), MaxSpeed: 6.0, Capacity: 7
USV_ID: 50, Position: (7388, 7959), MaxSpeed: 8.0, Capacity: 10
USV_ID: 51, Position: (404, 4393), MaxSpeed: 8.0, Capacity: 10
USV_ID: 52, Position: (11574, 8545), MaxSpeed: 8.0, Capacity: 7
USV_ID: 53, Position: (2184, 3310), MaxSpeed: 8.0, Capacity: 7
USV_ID: 54, Position: (3987, 3306), MaxSpeed: 8.0, Capacity: 10
USV_ID: 55, Position: (8024, 4352), MaxSpeed: 8.0, Capacity: 7
USV_ID: 56, Position: (9539, 10861), MaxSpeed: 8.0, Capacity: 3
USV_ID: 57, Position: (8468, 9730), MaxSpeed: 8.0, Capacity: 3
USV_ID: 58, Position: (5395, 15604), MaxSpeed: 8.0, Capacity: 10
USV_ID: 59, Position: (10337, 11820), MaxSpeed: 8.0, Capacity: 10
USV_ID: 60, Position: (8349, 9724), MaxSpeed: 8.0, Capacity: 10
USV_ID: 61, Position: (10371, 15789), MaxSpeed: 8.0, Capacity: 7
USV_ID: 62, Position: (6367, 14806), MaxSpeed: 8.0, Capacity: 10
USV_ID: 63, Position: (7507, 13696), MaxSpeed: 8.0, Capacity: 3
USV_ID: 64, Position: (7207, 5332), MaxSpeed: 8.0, Capacity: 7
USV_ID: 65, Position: (282, 15643), MaxSpeed: 8.0, Capacity: 10
USV_ID: 66, Position: (11861, 13889), MaxSpeed: 8.0, Capacity: 3
USV_ID: 67, Position: (9005, 11573), MaxSpeed: 8.0, Capacity: 3
USV_ID: 68, Position: (11344, 9064), MaxSpeed: 8.0, Capacity: 3
USV_ID: 69, Position: (11612, 15288), MaxSpeed: 8.0, Capacity: 3
USV_ID: 70, Position: (5991, 4715), MaxSpeed: 8.0, Capacity: 3
USV_ID: 71, Position: (9322, 15816), MaxSpeed: 8.0, Capacity: 3
USV_ID: 72, Position: (11980, 15100), MaxSpeed: 8.0, Capacity: 3
USV_ID: 73, Position: (5752, 8939), MaxSpeed: 8.0, Capacity: 7
USV_ID: 74, Position: (3351, 14492), MaxSpeed: 8.0, Capacity: 10
USV_ID: 75, Position: (6318, 11406), MaxSpeed: 10.0, Capacity: 3
USV_ID: 76, Position: (10348, 11749), MaxSpeed: 10.0, Capacity: 7
USV_ID: 77, Position: (10156, 13550), MaxSpeed: 10.0, Capacity: 10
USV_ID: 78, Position: (5485, 15636), MaxSpeed: 10.0, Capacity: 10
USV_ID: 79, Position: (10984, 9896), MaxSpeed: 10.0, Capacity: 10
USV_ID: 80, Position: (5531, 5568), MaxSpeed: 10.0, Capacity: 3
USV_ID: 81, Position: (1155, 6148), MaxSpeed: 10.0, Capacity: 10
USV_ID: 82, Position: (4243, 9690), MaxSpeed: 10.0, Capacity: 3
USV_ID: 83, Position: (10439, 11045), MaxSpeed: 10.0, Capacity: 7
USV_ID: 84, Position: (10342, 10212), MaxSpeed: 10.0, Capacity: 10
USV_ID: 85, Position: (5620, 15593), MaxSpeed: 10.0, Capacity: 10
USV_ID: 86, Position: (9601, 12945), MaxSpeed: 10.0, Capacity: 10
USV_ID: 87, Position: (8693, 12563), MaxSpeed: 10.0, Capacity: 7
USV_ID: 88, Position: (9794, 10940), MaxSpeed: 10.0, Capacity: 3
USV_ID: 89, Position: (10166, 11715), MaxSpeed: 10.0, Capacity: 10
USV_ID: 90, Position: (4163, 7642), MaxSpeed: 10.0, Capacity: 10
USV_ID: 91, Position: (6601, 7589), MaxSpeed: 10.0, Capacity: 7
USV_ID: 92, Position: (5550, 10028), MaxSpeed: 10.0, Capacity: 7
USV_ID: 93, Position: (8968, 11722), MaxSpeed: 10.0, Capacity: 10
USV_ID: 94, Position: (6434, 15492), MaxSpeed: 10.0, Capacity: 3
USV_ID: 95, Position: (5766, 14737), MaxSpeed: 10.0, Capacity: 7
USV_ID: 96, Position: (9029, 10318), MaxSpeed: 10.0, Capacity: 3
USV_ID: 97, Position: (3825, 2533), MaxSpeed: 10.0, Capacity: 10
USV_ID: 98, Position: (11636, 13030), MaxSpeed: 10.0, Capacity: 7
USV_ID: 99, Position: (5898, 11946), MaxSpeed: 10.0, Capacity: 7
