# Tasks — C++ pixel coords (original image, y=0 at top)
# Format: Task ID: pickup=(px,py) delivery=(px,py)

Task 0: pickup=(1635,250) delivery=(2230,435)
Task 1: pickup=(3540,635) delivery=(3895,955)
Task 2: pickup=(4165,1190) delivery=(4470,1250)
Task 3: pickup=(4255,1085) delivery=(3565,855)
Task 4: pickup=(3335,910) delivery=(2850,680)
Task 5: pickup=(2445,695) delivery=(1715,500)
Task 6: pickup=(1175,295) delivery=(780,380)
Task 7: pickup=(520,445) delivery=(1745,380)
Task 8: pickup=(2115,205) delivery=(2220,380)
Task 9: pickup=(2335,620) delivery=(2925,605)
Task 10: pickup=(3060,540) delivery=(3350,665)
Task 11: pickup=(3470,605) delivery=(3525,800)
Task 12: pickup=(3720,865) delivery=(4055,925)
Task 13: pickup=(4105,1000) delivery=(4095,1150)
Task 14: pickup=(4305,1160) delivery=(4265,1325)
Task 15: pickup=(4440,1225) delivery=(4495,1445)
Task 16: pickup=(4095,1290) delivery=(3670,1235)
Task 17: pickup=(3425,1120) delivery=(2860,780)
Task 18: pickup=(2270,510) delivery=(1540,260)
Task 19: pickup=(1115,290) delivery=(675,265)
Task 20: pickup=(340,195) delivery=(440,535)
Task 21: pickup=(385,675) delivery=(565,825)
Task 22: pickup=(580,965) delivery=(940,300)
Task 23: pickup=(1120,310) delivery=(1800,380)
Task 24: pickup=(1915,295) delivery=(2180,300)
Task 25: pickup=(2295,580) delivery=(2645,760)
Task 26: pickup=(2765,815) delivery=(3010,555)
Task 27: pickup=(3085,635) delivery=(3250,665)
Task 28: pickup=(3210,800) delivery=(2385,900)
Task 29: pickup=(1975,735) delivery=(2135,1255)
Task 30: pickup=(1515,520) delivery=(1800,105)
Task 31: pickup=(2060,55) delivery=(3365,565)
Task 32: pickup=(4095,975) delivery=(3660,740)
Task 33: pickup=(3550,825) delivery=(4350,1380)
Task 34: pickup=(4220,1255) delivery=(815,395)
Task 35: pickup=(590,310) delivery=(685,585)
Task 36: pickup=(1270,370) delivery=(1635,340)
Task 37: pickup=(1765,275) delivery=(2100,355)
Task 38: pickup=(2715,725) delivery=(470,500)
Task 39: pickup=(2825,730) delivery=(400,660)
