# Tasks — C++ pixel coords (original image, y=0 at top)
# Format: Task ID: pickup=(px,py) delivery=(px,py)

Task 0: pickup=(1635,250) delivery=(2230,435)
Task 1: pickup=(3540,635) delivery=(3895,955)
Task 2: pickup=(4165,1190) delivery=(4470,1250)
Task 3: pickup=(4255,1085) delivery=(3565,855)
Task 4: pickup=(3335,910) delivery=(2850,680)
Task 5: pickup=(2445,695) delivery=(1715,500)
Task 6: pickup=(1175,295) delivery=(780,380)
Task 7: pickup=(520,445) delivery=(1745,380)
Task 8: pickup=(2115,205) delivery=(2220,380)
Task 9: pickup=(2335,620) delivery=(2925,605)
Task 10: pickup=(3060,540) delivery=(3350,665)
Task 11: pickup=(3470,605) delivery=(3525,800)
Task 12: pickup=(3720,865) delivery=(4055,925)
Task 13: pickup=(4105,1000) delivery=(4095,1150)
Task 14: pickup=(4305,1160) delivery=(4265,1325)
Task 15: pickup=(4440,1225) delivery=(4495,1445)
Task 16: pickup=(4095,1290) delivery=(3670,1235)
Task 17: pickup=(3425,1120) delivery=(2860,780)
Task 18: pickup=(2270,510) delivery=(1540,260)
Task 19: pickup=(1115,290) delivery=(675,265)
Task 20: pickup=(340,195) delivery=(440,535)
Task 21: pickup=(385,675) delivery=(565,825)
Task 22: pickup=(580,965) delivery=(940,300)
Task 23: pickup=(1120,310) delivery=(1800,380)
Task 24: pickup=(1915,295) delivery=(2180,300)
Task 25: pickup=(2295,580) delivery=(2645,760)
Task 26: pickup=(2765,815) delivery=(3010,555)
Task 27: pickup=(3085,635) delivery=(3250,665)
Task 28: pickup=(3210,800) delivery=(2385,900)
Task 29: pickup=(1975,735) delivery=(2135,1255)
Task 30: pickup=(1515,520) delivery=(1800,105)
Task 31: pickup=(2060,55) delivery=(3365,565)
Task 32: pickup=(4095,975) delivery=(3660,740)
Task 33: pickup=(3550,825) delivery=(4350,1380)
Task 34: pickup=(4220,1255) delivery=(815,395)
Task 35: pickup=(590,310) delivery=(685,585)
Task 36: pickup=(1270,370) delivery=(1635,340)
Task 37: pickup=(1765,275) delivery=(2100,355)
Task 38: pickup=(2715,725) delivery=(470,500)
Task 39: pickup=(2825,730) delivery=(400,660)
Task 40: pickup=(390,665) delivery=(3700,800)
Task 41: pickup=(3785,360) delivery=(1765,1205)
Task 42: pickup=(1345,295) delivery=(835,375)
Task 43: pickup=(705,215) delivery=(1610,250)
Task 44: pickup=(1620,305) delivery=(2330,280)
Task 45: pickup=(2340,630) delivery=(3475,695)
Task 46: pickup=(3610,710) delivery=(3180,820)
Task 47: pickup=(4285,1135) delivery=(4445,1445)
Task 48: pickup=(4270,1320) delivery=(785,410)
Task 49: pickup=(915,385) delivery=(2220,345)
Task 50: pickup=(1955,180) delivery=(3000,375)
Task 51: pickup=(3820,1510) delivery=(2200,1270)
Task 52: pickup=(1470,570) delivery=(1640,270)
Task 53: pickup=(1730,270) delivery=(2210,500)
Task 54: pickup=(2190,415) delivery=(3555,650)
Task 55: pickup=(3500,605) delivery=(4175,1060)
Task 56: pickup=(2475,700) delivery=(1640,335)
Task 57: pickup=(1085,285) delivery=(625,410)
Task 58: pickup=(530,450) delivery=(2525,60)
Task 59: pickup=(1710,750) delivery=(3010,580)
Task 60: pickup=(3455,485) delivery=(3135,320)
Task 61: pickup=(2825,160) delivery=(1660,355)
Task 62: pickup=(425,550) delivery=(755,760)
Task 63: pickup=(4110,895) delivery=(3610,935)
Task 64: pickup=(3075,290) delivery=(1955,70)
Task 65: pickup=(2130,55) delivery=(2080,185)
Task 66: pickup=(2195,320) delivery=(2400,685)
Task 67: pickup=(2640,735) delivery=(3175,660)
Task 68: pickup=(3085,815) delivery=(3020,1010)
Task 69: pickup=(2750,1030) delivery=(2105,800)
Task 70: pickup=(1745,565) delivery=(2130,1255)
Task 71: pickup=(855,975) delivery=(1055,310)
Task 72: pickup=(1430,310) delivery=(3410,540)
Task 73: pickup=(3645,370) delivery=(4390,1235)
Task 74: pickup=(4490,1450) delivery=(4125,1155)
Task 75: pickup=(4165,850) delivery=(3420,1010)
Task 76: pickup=(2920,845) delivery=(1920,280)
Task 77: pickup=(1705,880) delivery=(1485,270)
Task 78: pickup=(705,1010) delivery=(935,245)
Task 79: pickup=(2160,1255) delivery=(2600,765)
