seed,variant,label,makespan_s,distance_m,energy_kwh,load_std_s,runtime_s
0,B1_Plain_ALNS,B1 Plain ALNS,3490.860114285714,31674.274709999998,98.0387397949621,1633.8222057494506,0.6491953629993077
0,B2_Graph_Greedy,B2 Graph + Greedy,4173.160107142858,43078.55322,120.12291186575126,1610.7063667844614,0.0005697960004908964
0,B3_Graph_ALNS,B3 Graph + ALNS (full),3575.4980573333337,34734.68051,101.70256368662879,1616.9029037020127,0.3552128139999695
0,B4_no_adaptive,B4 w/o adaptive weights,3575.4980573333337,34734.68051,101.70256368662879,1616.9029037020127,0.3443035360005524
0,B5_no_SA,B5 w/o simulated annealing,3532.4713749999996,34121.77384,100.61985887532038,1615.3559979150107,0.3587192779996258
0,B6_no_bottleneck,B6 w/o bottleneck destroy,3569.9263024390248,32677.808310000004,96.7128963171212,1791.472857734663,0.5168521229998078
0,B7_basic_operators,B7 basic operators only,3583.7657013333333,36700.366669999996,106.92842631359534,1675.3730927766508,0.2760665779996998
1,B1_Plain_ALNS,B1 Plain ALNS,3470.1563285714287,32086.786110000005,94.81027929735481,1876.7908114651457,0.6278294250005274
1,B2_Graph_Greedy,B2 Graph + Greedy,4813.465025641026,39972.67504,112.20118690140148,2092.210254730628,0.0005989600003886153
1,B3_Graph_ALNS,B3 Graph + ALNS (full),3595.4480361111105,34755.94600999999,101.52686328856058,2198.259254501161,0.37540932899992185
1,B4_no_adaptive,B4 w/o adaptive weights,3595.4480361111105,34755.94600999999,100.98152389272725,2198.259254501161,0.34071228800075914
1,B5_no_SA,B5 w/o simulated annealing,3560.1258833333336,32029.6029,94.87358862152462,1795.784995482477,0.35731027600013476
1,B6_no_bottleneck,B6 w/o bottleneck destroy,3566.2127285714287,38273.891879999996,115.72204120689707,1894.6882989030148,0.4879863669993938
1,B7_basic_operators,B7 basic operators only,3582.4668520000005,36244.023160000004,104.48987158318027,1916.9881976684155,0.2755484359995535
2,B1_Plain_ALNS,B1 Plain ALNS,3447.5213833333332,31750.61267,96.34657401659717,1774.823934929885,0.581894531999751
2,B2_Graph_Greedy,B2 Graph + Greedy,4203.255951428571,41288.56441,116.71593651976325,1874.8333259252674,0.0006048000004739151
2,B3_Graph_ALNS,B3 Graph + ALNS (full),3545.7706125,36090.06564,106.56704235962597,1979.2675412889487,0.3622543259998565
2,B4_no_adaptive,B4 w/o adaptive weights,3573.9154079999994,34557.966739999996,102.01994066360675,1783.2554500127007,0.3613928599997962
2,B5_no_SA,B5 w/o simulated annealing,3516.9883694444447,31743.67527,94.873171518375,1929.3781381574738,0.44257093600026565
2,B6_no_bottleneck,B6 w/o bottleneck destroy,3592.7278277777777,33239.87564,98.90953465825129,1854.7236990991407,0.6144978760003141
2,B7_basic_operators,B7 basic operators only,3535.7506999999996,35685.47767,106.39213478690372,1774.1194999210172,0.24291233599979023
3,B1_Plain_ALNS,B1 Plain ALNS,3528.5593,31689.42311,93.23341225006313,1695.1677645590125,0.6814499330002945
3,B2_Graph_Greedy,B2 Graph + Greedy,4679.812584615384,41224.241169999994,115.88616590024306,1678.122090314051,0.0006236810004338622
3,B3_Graph_ALNS,B3 Graph + ALNS (full),3510.97611625,31680.67654,93.26424290942236,1581.484666381562,0.38546450800004095
