seed,variant,label,makespan_s,distance_m,energy_kwh,load_std_s,runtime_s
0,B1_Plain_ALNS,B1 Plain ALNS,6687.5077,61513.22979,192.69034944327208,3313.773340166765,77.81448644800003
0,B2_Graph_Greedy,B2 Graph + Greedy,8989.046286111112,111882.35815,310.54980291838365,3120.6720029506464,0.0009979419992305338
0,B3_Graph_ALNS,B3 Graph + ALNS (full),6892.6876146341465,68569.58663,214.17761329764033,3407.8723200847767,50.42233812300037
0,B4_no_adaptive,B4 w/o adaptive weights,6892.6876146341465,68569.58663,214.17761329764033,3407.8723200847767,49.96176019500035
0,B5_no_SA,B5 w/o simulated annealing,6738.713558666667,63993.201270000005,204.51101141149618,3314.5276812843185,51.812456992999614
0,B6_no_bottleneck,B6 w/o bottleneck destroy,6940.080937333333,66976.87255999999,206.31104264784256,3486.9175140803086,67.02013099800024
0,B7_basic_operators,B7 basic operators only,6887.431758333334,71194.98616999999,219.54603186732004,3435.2720052420887,46.73250654500043
1,B1_Plain_ALNS,B1 Plain ALNS,6807.3543628205125,65627.96343999999,205.65388397943974,3805.5879966176053,71.03202949200022
1,B2_Graph_Greedy,B2 Graph + Greedy,8248.772369444443,97405.33743999997,276.74439811816757,3427.0978976387587,0.0009496319999016123
1,B3_Graph_ALNS,B3 Graph + ALNS (full),6826.0309230769235,69116.21125999998,218.42082262066282,3379.3490497431603,44.99456023200037
1,B4_no_adaptive,B4 w/o adaptive weights,6828.959247142856,67356.23965999999,211.8770141527229,3781.8646194701364,47.86306631499974
1,B5_no_SA,B5 w/o simulated annealing,6934.999703529411,71802.19527,226.06626318973792,3389.321466016465,50.50115560699942
1,B6_no_bottleneck,B6 w/o bottleneck destroy,6736.496257142858,64065.44186,204.11141765335077,3530.226621620771,60.436980701999346
1,B7_basic_operators,B7 basic operators only,6933.394700000001,68752.93457000001,213.04955158678536,3636.619309193636,32.07109176999984
2,B1_Plain_ALNS,B1 Plain ALNS,6725.484972,64478.8235,203.51058422075442,3515.5902776063085,57.70388517399988
2,B2_Graph_Greedy,B2 Graph + Greedy,8628.079252941176,101548.80250000002,288.310990512472,3428.4654001462523,0.0009442010004931944
2,B3_Graph_ALNS,B3 Graph + ALNS (full),6807.515373611111,64717.97723,204.36965972805075,3559.0553521967036,40.90827984000043
2,B4_no_adaptive,B4 w/o adaptive weights,6852.081923076923,68068.69956,211.41923338335707,3635.502028606228,51.979308021999714
2,B5_no_SA,B5 w/o simulated annealing,6721.089871794871,62874.82115999999,199.00417271110618,3379.9963017731247,37.51336376499967
2,B6_no_bottleneck,B6 w/o bottleneck destroy,6766.451286111112,65794.44747,202.42037292123294,3659.8326464471024,51.357628621
2,B7_basic_operators,B7 basic operators only,6854.544970833333,71208.54169,221.33869803375688,3693.1524474356593,32.060225211000215
